parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
exchange_bond	RU000A100GF0	SberIOS 001P-103R 153d KR>7.15	СберИОС103	СберИОС 001Р-103R 153d KR>7.15	2019-06-21			
exchange_bond	RU000A100GG8	SberIOS 001P-94R 1Y KR>={6.90}	СберИОС94	СберИОС 001Р-94R 1Y KR>={6.90}	2019-06-21			
exchange_bond	RU000A100GK0	MigCredit BO-01MC	МигКр 01МС	МигКредит БО-01МС	2019-06-24			
exchange_bond	RU000A100GM6	Rosselkhozbank JSC BO-09P	РСХБ БО-9Р	Россельхозбанк АО БО-09Р	2019-06-25			
exchange_bond	RU000A100GP9	SberIOS 001P-104R 3M USDRUB RA	СберИОС104	СберИОС 001Р-104R 3M USDRUB RA	2019-06-24			
exchange_bond	RU000A100GY1	VEB.RF PBO-001P-17	ВЭБ 1P-17	ВЭБ.РФ ПБО-001Р-17	2019-06-27			
exchange_bond	RU000A100H02	Magnit BO-003P-03	Магнит3Р03	Магнит ПАО БО-003Р-03	2019-06-27			
exchange_bond	RU000A100H10	VEB.RF PBO-001P-K161	ВЭБ1P-К161	ВЭБ.РФ ПБО-001Р-К161	2019-06-27			
exchange_bond	RU000A100H28	SberIOS 001P-99R MOEX RX 47	СберИОС99	СберИОС 001Р-99R MOEX RX 47	2019-06-27			
exchange_bond	RU000A100H36	SberIOS 001P-102R USDRUB CS126	Сбер Б102R	СберИОС 001Р-102R USDRUB CS126	2019-06-27			
exchange_bond	RU000A100H44	SberIOS 001P-101R 3.5Y PP 105%	СберИОС101	СберИОС 001Р-101R 3.5Y PP 105%	2019-06-27			
exchange_bond	RU000A100H51	SberIOS 001P-85R 3Y S&P_ROT	СберИОС85	СберИОС 001Р-85R 3Y S&P_ROT	2019-06-28			
exchange_bond	RU000A100H69	SberIOS 001P-107R GAZP_asn 100	СберИОС107	СберИОС 001Р-107R GAZP_asn 100	2019-06-27			
exchange_bond	RU000A100H77	SberIOS 001P-108R 1Y USDRUB RA	СберИОС108	СберИОС 001Р-108R 1Y USDRUB RA	2019-06-27			
exchange_bond	RU000A100H93	VEB.RF PBO-001P-K162	ВЭБ1P-К162	ВЭБ.РФ ПБО-001Р-К162	2019-06-28			
exchange_bond	RU000A100HA9	VEB.RF PBO-001P-K163	ВЭБ1P-К163	ВЭБ.РФ ПБО-001Р-К163	2019-07-10			
exchange_bond	RU000A100HB7	VEB.RF PBO-001P-K164	ВЭБ1P-К164	ВЭБ.РФ ПБО-001Р-К164	2019-07-11			
exchange_bond	RU000A100HC5	VEB.RF PBO-001P-K165	ВЭБ1P-К165	ВЭБ.РФ ПБО-001Р-К165	2019-07-05			
exchange_bond	RU000A100HE1	AZBUKA_VKUSA_P01	АЗБУКАВКП1	АЗБУКА_ВКУСА_БОП1	2019-06-28			
exchange_bond	RU000A100HH4	Gazprombank BO 001P-11P	ГПБ001P11P	ГПБ (АО) БО 001Р-11Р	2019-07-01			
exchange_bond	RU000A100HK8	Gazprombank BO 002P-09	ГПБ002P-09	ГПБ (АО) БО 002P-09	2019-07-01			
exchange_bond	RU000A100HM4	SberIOS 001P-106R 42m O.G. 105	СберИОС106	СберИОС 001Р-106R 42m O.G. 105	2019-07-02			
exchange_bond	RU000A100HT9	Bank ZENIT PJSC BO-001P-04	ЗЕНИТБО1Р4	Банк ЗЕНИТ ПАО БО-001Р-04	2019-07-03			
exchange_bond	RU000A100HU7	MTS 001P-10	МТС 1P-10	Мобильные ТелеСистемы 001P-10	2019-07-03			
exchange_bond	RU000A100HW3	S-Innovations BO-P01	С-ИнновБП1	С-Инновации БО-П01	2019-07-03			
exchange_bond	RU000A100HY9	RZD BO 001P-16R	РЖД 1Р-16R	РЖД ОАО БО 001Р-16R	2019-07-04			
exchange_bond	RU000A100J18	DFF LLC BO 001P-02	ДФФ БО1P-2	ДФФ ООО БО 001Р-02	2019-07-04			
exchange_bond	RU000A100J34	Bank VTB B-1-31	ВТБ Б-1-31	Банк ВТБ (ПАО) Б-1-31	2019-07-05			
exchange_bond	RU000A100JB3	Gazprombank BO 001P-12P	ГПБ001P12P	ГПБ (АО) БО 001Р-12Р	2019-07-05			
exchange_bond	RU000A100JC1	Eurasian Develop Bank 1P-04	ЕАБР 1Р-04	ЕАБР БО 001Р-04	2019-07-16			
exchange_bond	RU000A100JE7	Baltic Leasing BO-P02	БалтЛизБП2	Балтийский лизинг ООО БО-П02	2019-07-08			
exchange_bond	RU000A100JF4	Transneft BO-001P-12	ТрнфБО1P12	Транснефть ПАО БО-001P-12	2019-07-09			
exchange_bond	RU000A100JG2	Lombard Master BO-P06	ЛомМасБОП6	Ломбард Мастер БО-П06	2019-07-09			
exchange_bond	RU000A100K31	Agrofirma Rubej 001P-01	Рубеж 1P1	Агрофирма Рубеж 001Р-01	2019-07-10			
exchange_bond	RU000A100K49	KAMAZ PTC BO-P04	КАМАЗ БОП4	КАМАЗ ПАО БО-П04	2019-07-10			
exchange_bond	RU000A100K56	SberIOS 001P-109R 1M USDRUB RA	СберИОС109	СберИОС 001Р-109R 1M USDRUB RA	2019-07-09			
