parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Industrials	KMEZ	Kovrov Mech. Zavod	КМЗ	Ковровский механический завод	2014-06-09	
Industrials	KRKO	TKZ Krasny Kotelshchik ao	ТКЗКК ао	ТКЗ Красный котельщик ПАО ао	2014-06-09	2022-12-13
Industrials	KRKOP	TKZ Krasny Kotelshchik ap	ТКЗКК ап	ТКЗ Красный котельщик ПАО ап	2014-06-09	
Industrials	KTSB	KSB	КСБ ао	Костромск.сбыт.комп ПАО	2014-06-09	
Industrials	KTSBP	KSB ap	КСБ ап	Костромск.сбыт.комп ПАО	2014-06-09	
Industrials	LVHK	Levenguk ao	Левенгук	Левенгук ПАО ао	2014-06-09	
Industrials	MSTT	Mostotrest	Мостотрест	ПАО МОСТОТРЕСТ ао	2014-06-09	
Industrials	NAUK	NPO Nauka ao	iНПОНаука	НПО Наука ао	2014-06-09	
Industrials	NFAZ	NEFAZ PAO ao	НЕФАЗ	НЕФАЗ ПАО ао	2014-06-09	
Industrials	NKSH	Nizhnekamskshina ao	Нижкамшина	Нижнекамскшина ПАО ао	2014-06-09	
Industrials	NSVZ	Nauka-Svyaz ao	iНаукаСвяз	Наука-Связь ПАО ао	2014-06-09	
Industrials	OMZZ	OMZ	ОМЗ-ао	ао Объединён. маш. заводы	2014-06-09	2014-08-07
Industrials	OMZZP	OMZ (pref)	ОМЗ-ап	ап Объединён. маш. заводы	2014-06-09	
Industrials	PAZA	Pavlovo Bus ao	ПавлАвт ао	Павловский автобус ПАО ао	2014-06-09	
Industrials	RKKE	RKK Energia	ЭнергияРКК	РКК Энергия им.С.П.Королева ао	2014-06-09	
Industrials	SGZH	Segezha	Сегежа	Сегежа ао	2021-04-28	
Industrials	TUZA	Tuimaz. Zavod Avtobetonovozov	ТЗА ао	Туймаз. завод автобетоновозов	2014-06-09	
Industrials	UNAC	Ob.aviastroitelnaya korp.	iАвиастКао	Об.авиастр.корп. ПАО ао	2014-06-09	
Industrials	URKZ	Uralskaya kuznica ao	УрКузница	ПАО Уральская кузница ао	2014-06-09	
Industrials	UWGN	PJSC RPC UWC	НПК ОВК	ПАО НПК ОВК	2015-04-29	2021-12-13
Industrials	UWGN-001D	PJSC RPC UWC-001D	ОВК-001D	ПАО НПК ОВК-001D	2015-04-29		2015-06-16
Industrials	VSYD	Viborgskii sudostr. Zavod ao	ВыбСудЗ ао	Выборгский Суд.Завод ПАО ао	2014-06-09	
Industrials	VSYDP	Viborgskii sudostr. Zavod ap	ВыбСудЗ ап	Выборгский Суд.Завод ПАО ап	2014-06-09	
Industrials	ZILL	ZIL ao	ЗИЛ ао	Завод им. И.А.Лихачева ПАО ао	2014-06-09	
Industrials	ZVEZ	Zvezda ao	ЗВЕЗДА ао	ЗВЕЗДА ПАО ао	2014-06-09	
Information Technologies	CIAN	ADR Cian PLC ORD SHS	CIAN-адр	АДР Cian PLC ORD SHS	2021-11-05	
